"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 00:00","2019","10","01","00:00","6.7","","0.8","","66","","","M","","","","","","","96.63","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 01:00","2019","10","01","01:00","4.6","","0.1","","73","","","M","","","","","","","96.66","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 02:00","2019","10","01","02:00","2.9","","-0.1","","81","","","M","","","","","","","96.67","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 03:00","2019","10","01","03:00","2.2","","-0.4","","83","","","M","","","","","","","96.66","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 04:00","2019","10","01","04:00","1.2","","-0.8","","87","","","M","","","","","","","96.68","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 05:00","2019","10","01","05:00","1.0","","-0.8","","88","","","M","","","","","","","96.71","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 06:00","2019","10","01","06:00","0.9","","-0.7","","89","","","M","","","","","","","96.74","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 07:00","2019","10","01","07:00","1.7","","-0.4","","86","","","M","","","","","","","96.77","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 08:00","2019","10","01","08:00","6.6","","-0.2","","62","","","M","","","","","","","96.78","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 09:00","2019","10","01","09:00","7.7","","0.0","","58","","","M","","","","","","","96.78","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 10:00","2019","10","01","10:00","8.6","","0.0","","55","","","M","","","","","","","96.76","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2019-10-01 11:00","2019","10","01","11:00","10.5","","0.7","","51","","","M","","","","","","","96.71","","","","","","NA"
