"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 00:00","2021","02","01","00:00","3.3","","2.2","","92","","0.0","","","","","","","","95.95","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 01:00","2021","02","01","01:00","2.2","","1.2","","93","","0.0","","","","","","","","95.94","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 02:00","2021","02","01","02:00","1.9","","0.9","","93","","0.0","","","","","","","","95.91","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 03:00","2021","02","01","03:00","2.1","","1.2","","94","","0.0","","","","","","","","95.88","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 04:00","2021","02","01","04:00","1.8","","1.0","","95","","0.0","","","","","","","","95.86","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 05:00","2021","02","01","05:00","2.0","","1.3","","95","","0.1","","","","","","","","95.82","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 06:00","2021","02","01","06:00","1.6","","1.1","","96","","0.6","","","","","","","","95.77","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 07:00","2021","02","01","07:00","1.9","","1.4","","96","","0.0","","","","","","","","95.73","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 08:00","2021","02","01","08:00","2.0","","1.6","","97","","0.2","","","","","","","","95.72","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 09:00","2021","02","01","09:00","2.3","","1.8","","96","","0.0","","","","","","","","95.70","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 10:00","2021","02","01","10:00","2.3","","1.7","","96","","0.1","","","","","","","","95.68","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 11:00","2021","02","01","11:00","2.8","","1.9","","94","","0.5","","","","","","","","95.65","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 12:00","2021","02","01","12:00","3.1","","2.1","","93","","0.3","","","","","","","","95.56","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 13:00","2021","02","01","13:00","3.2","","2.4","","94","","0.0","","","","","","","","95.50","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 14:00","2021","02","01","14:00","3.1","","2.1","","93","","0.0","","","","","","","","95.46","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 15:00","2021","02","01","15:00","3.1","","2.3","","94","","0.0","","","","","","","","95.38","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 16:00","2021","02","01","16:00","3.0","","2.3","","95","","0.0","","","","","","","","95.39","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 17:00","2021","02","01","17:00","2.7","","2.2","","96","","0.0","","","","","","","","95.37","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 18:00","2021","02","01","18:00","2.5","","2.1","","97","","0.0","","","","","","","","95.30","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 19:00","2021","02","01","19:00","2.0","","1.6","","97","","0.0","","","","","","","","95.19","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 20:00","2021","02","01","20:00","1.9","","1.6","","97","","0.0","","","","","","","","95.21","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 21:00","2021","02","01","21:00","1.8","","1.4","","98","","0.4","","","","","","","","95.15","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 22:00","2021","02","01","22:00","1.9","","1.6","","98","","0.0","","","","","","","","95.07","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-01 23:00","2021","02","01","23:00","1.8","","1.5","","98","","0.0","","","","","","","","95.04","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 00:00","2021","02","02","00:00","1.5","","1.2","","98","","0.0","","","","","","","","94.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 01:00","2021","02","02","01:00","1.6","","1.3","","98","","0.0","","","","","","","","94.93","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 02:00","2021","02","02","02:00","1.8","","1.5","","98","","0.0","","","","","","","","94.98","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 03:00","2021","02","02","03:00","1.7","","1.5","","98","","0.9","","","","","","","","94.99","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 04:00","2021","02","02","04:00","1.5","","1.2","","98","","0.0","","","","","","","","95.03","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 05:00","2021","02","02","05:00","1.3","","1.1","","98","","0.0","","","","","","","","95.06","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 06:00","2021","02","02","06:00","1.1","","0.9","","98","","0.0","","","","","","","","95.19","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 07:00","2021","02","02","07:00","4.1","","1.6","","84","","0.0","","","","","","","","95.26","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 08:00","2021","02","02","08:00","5.4","","-0.9","","64","","0.0","","","","","","","","95.31","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 09:00","2021","02","02","09:00","5.0","","-0.8","","66","","0.0","","","","","","","","95.35","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 10:00","2021","02","02","10:00","6.4","","0.7","","67","","0.0","","","","","","","","95.35","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 11:00","2021","02","02","11:00","7.1","","-0.1","","60","","0.0","","","","","","","","95.30","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 12:00","2021","02","02","12:00","6.6","","0.4","","65","","0.0","","","","","","","","95.25","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 13:00","2021","02","02","13:00","6.7","","0.5","","65","","0.0","","","","","","","","95.17","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 14:00","2021","02","02","14:00","6.6","","0.8","","67","","0.0","","","","","","","","95.13","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 15:00","2021","02","02","15:00","4.7","","2.1","","83","","0.8","","","","","","","","95.17","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 16:00","2021","02","02","16:00","3.5","","2.0","","90","","0.0","","","","","","","","95.19","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 17:00","2021","02","02","17:00","3.0","","1.6","","91","","0.0","","","","","","","","95.23","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 18:00","2021","02","02","18:00","3.6","","1.5","","86","","0.8","","","","","","","","95.28","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 19:00","2021","02","02","19:00","3.0","","1.8","","92","","0.2","","","","","","","","95.35","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 20:00","2021","02","02","20:00","2.0","","0.9","","93","","0.0","","","","","","","","95.38","","","","","","NA"
"-119.40","49.94","KELOWNA UBCO","1123996","2021-02-02 21:00","2021","02","02","21:00","2.0","","0.8","","91","","0.0","","","","","","","","95.43","","","","","","NA"
